index,label,frequency
0,186478529,53
1,487900041,16
2,783157418,10
3,1179981192,9
4,308991132,4
5,381524419,3
6,271996747,3
7,211684480,2
8,132332305,2
9,258061337,2
10,49839706,2
11,383803744,2
12,1728753222,2
13,107813460,2
14,113110776,2
15,1213893211,1
16,394209796,1
17,256588933,1
18,208056970,1
19,302558091,1
20,110970252,1
21,2996648079,1
22,2154599044,1
23,394030787,1
24,630223892,1
25,6571822,1
26,955526552,1
27,785365562,1
28,2921757599,1
29,211926434,1
30,2153591203,1
31,2478353316,1
32,61847205,1
33,249854763,1
34,7742252,1
35,3126303755,1
36,2322463923,1
37,407326772,1
38,43707529,1
39,558121274,1
40,23196476,1
41,492544447,1
42,835799874,1
43,1362860359,1
44,1013053836,1
45,1588760263,1
46,3448911,1
47,185789961,1
48,118497617,1
49,2950183251,1
50,159800661,1
51,2654239446,1
52,228130135,1
53,129188570,1
54,41557723,1
55,1167554012,1
56,130816861,1
57,2211179486,1
58,2182968032,1
59,510757473,1
60,2863121380,1
61,3191087973,1
62,222083433,1
63,287437290,1
64,226691692,1
65,3207467247,1
66,290037361,1
67,1027204951,1
68,517525315,1
69,863560554,1
70,342224900,1
